id,suit,rank,name_en,name_kr,card_prompt,theme,keywords,filename,status,image_url,generated_at
13,major,13,Death,저승사자,"A skeletal Joseon death messenger in a black ceremonial doeppo robe and wide-brimmed black gat hat, riding a pale skeletal horse through a misty boundary between worlds, carrying a long scroll of names, a single white rose blooming from the horse skull, figures of all social classes bowing before him, a distant sunrise on the horizon suggesting transformation, deep blacks and bone white with crimson sunrise",an ending and a beginning for a new start,growth to the next stage; resolve taking shape; the order of nature,major-13-death.png,pending,,
14,major,14,Temperance,절제,"A celestial Korean fairy seonnyeo with flowing pastel robes pouring water between two different-sized porcelain vessels without spilling a single drop, one foot on dry land and one foot on still water, a rainbow arching behind her, irises and lotus flowers at the water edge, serene harmonious expression, golden aura around her head, pastel blues and soft iridescent colors",new creation through harmony and balance,moderation and balance; smooth progress; flexibility,major-14-temperance.png,pending,,
15,major,15,The Devil,도깨비,"A fearsome Korean goblin-demon dokkaebi with two curved horns and wild disheveled hair seated on a dark stone throne, gripping a glowing spiked dokkaebi club, two figures in heavy jade chains kneeling below with chains loose enough to escape if they chose, shadowy cave with scattered gold coins on the floor, deep blacks and sickly greens, red glowing eyes",a heart consumed by sweet desire,addiction to pleasure; misguided desire; sweet temptation,major-15-devil.png,pending,,
16,major,16,The Tower,무너지는 전각,"A bolt of lightning striking the highest pavilion of a Joseon palace fortress, the golden roof tiles exploding dramatically outward, figures in court robes falling through stormy air, flames erupting from the windows, dark storm clouds swirling overhead, a violent rupture of false security, dramatic chiaroscuro of black storm and orange fire",a bolt-from-the-blue shock and change,a great upheaval; a bold choice; fundamental change,major-16-tower.png,pending,,
17,major,17,The Star,별,"A graceful Korean woman in translucent starlight-blue robes kneeling at a moonlit pond, pouring water from two white porcelain ewers simultaneously — one into the earth and one into the water — the Big Dipper blazing brilliantly above her, jasmine and white cosmos flowers around her, her expression radiant with quiet hope, silver and deep blue palette",blessing and hope under clear starlight,light of hope; dazzling talent; a pure heart,major-17-star.png,pending,,
18,major,18,The Moon,달,"A full moon over a misty Joseon landscape with twin haetae stone guardian lions flanking a mountain path, a white jade rabbit pounding medicine in moonlight, a wolf and a dog howling from opposite clifftops, a crayfish emerging from a still pond below, dreamlike silvery-blue mist, uncertainty and illusion, blue-grey and silver with eerie green undertones",illusion and truth — which is real?,uneasy allure; an ambiguous state; a vague unease,major-18-moon.png,pending,,
19,major,19,The Sun,해,"A joyful young boy in a bright red and yellow hanbok riding a white horse through a field of sunflowers under a blazing golden sun with a radiant human face, arms outstretched in pure joy, a low stone wall with blooming morning glories behind him, warm golden light flooding everything, cheerful and vibrant, pure gold and sunflower yellow",the brilliantly shining energy of success,reaching the peak; success and achievement; fruition and satisfaction,major-19-sun.png,pending,,
20,major,20,Judgement,심판,"A celestial herald in white and gold robes blowing a long curved herald horn from a golden cloud, ancestors in white burial shrouds rising joyfully from their stone tombs below in a valley, arms raised in awakening, mountain peaks and clear blue sky, families reuniting across generations, dawn light streaming down, gold and sky blue",revived memories returning as opportunity,a turning point; release from the past; a clear choice,major-20-judgement.png,pending,,
21,major,21,The World,세계,"A radiant dancing figure in a wreath woven from the four noble plants — plum blossom, orchid, chrysanthemum, bamboo — performing a traditional Korean fan dance with two silk fans, wearing a flowing five-color obangbaek robe, the four guardian deities at the four corners: azure dragon, white tiger, red phoenix, black tortoise, cosmic completion, all five elements harmonized",the joy of a completed world after a long journey,reward for your efforts; harmonious effort; ultimate fulfillment,major-21-world.png,pending,,
22,wands,ace,Ace of Wands,봉의 에이스,"A single ornate wooden staff erupting with living flame from a clenched hand emerging from a golden cloud, spring blossoms bursting along its length, a distant mountain and fertile valley below, a single red flame shooting upward from the staff top, raw creative potential, vivid orange and red",the start of possibility about to bloom,advancing ambition; a spark of passion; showing your skill,wands-ace.png,pending,,
23,wands,2,Two of Wands,봉의 2,"A bold Joseon merchant-lord in travelling robes standing on a high castle wall, holding a small globe in one hand and gripping a tall torch-staff with the other, gazing over the sea toward distant lands, another staff planted firmly beside him, ambitious far-sighted vision, warm amber and terracotta",confidence for an ambitious leap,overflowing confidence; rewarding growth; planning the next move,wands-02.png,pending,,
24,wands,3,Three of Wands,봉의 3,"A confident Joseon trader in an orange silk robe standing at a coastal cliff edge with three tall staffs planted firmly around him, watching his merchant ships sail on the horizon, successful expansion beginning, anticipation in his expression, golden hour light, orange and sea blue",seeking a chance to advance,an approaching challenge; signs of progress; welcome news,wands-03.png,pending,,
25,wands,4,Four of Wands,봉의 4,"Four decorated ceremonial poles wreathed with floral garlands framing a festive Joseon village celebration, joyful villagers in colorful hanbok dancing and feasting below, ribbon streamers and five-color lanterns, a couple at the center of the celebration, harmony and homecoming, vivid festival colors",free joy that spreads from within,peaceful feelings; a smooth flow; problems resolved,wands-04.png,pending,,
26,wands,5,Five of Wands,봉의 5,"Five young Joseon men in padded practice clothing playfully sparring with bamboo staffs in a market square, each pushing in a different direction, determined but not truly hostile, energetic chaotic competition, dust rising from the ground, grinning faces, earthy browns and energetic reds",a clash of strong wills,a desire for change; a no-holds-barred contest; tangled rivalry,wands-05.png,pending,,
27,wands,6,Six of Wands,봉의 6,"A victorious Joseon military officer on a white horse wearing a laurel wreath of green pine on his gat hat, holding a tall staff crowned with a victory banner, cheering townspeople lining the street and waving, five supporters carrying decorated poles alongside, triumphal procession, gold and green",praised in the victor's seat,honorable victory; steady support; a decisive advantage,wands-06.png,pending,,
28,wands,7,Seven of Wands,봉의 7,"A lone Joseon warrior standing on an elevated rocky outcrop with a long staff, fending off six staffs thrust upward from below by unseen challengers, wearing mismatched boots suggesting urgent action, fierce determined expression, holding the high ground advantage, earth brown and battle red",a fight from higher ground,an unshaken stance; seizing the upper hand; strong conviction,wands-07.png,pending,,
29,wands,8,Eight of Wands,봉의 8,"Eight blazing torch-staffs with fire streaming as arrows through the air in rapid diagonal flight above a scenic Joseon river landscape, a clear open sky with no obstacles, pure forward momentum and swift messages, golden sky and deep green river below, no human figures present","a swift, unhindered rush to the goal",rapid progress; rushing momentum; quick results,wands-08.png,pending,,
30,wands,9,Nine of Wands,봉의 9,"A weary but defiant Joseon soldier with a bandaged head leaning on one staff, eight staffs forming a defensive fence behind him, alert watchful eyes scanning for further challenge, wounds visible but posture unyielding and determined, battle-worn resilience, earthy browns and battle-worn greens",bracing to face what you fear,full preparation; time to regroup; a vigilant stance,wands-09.png,pending,,
31,wands,10,Ten of Wands,봉의 10,"A Joseon farmer bent under the heavy weight of ten bundled staffs and torches, struggling to carry them all toward a distant village, barely able to see past the burden pressing on his back, back straining but determined to continue, late afternoon golden light, the village tantalizingly close ahead, ochre and earth tones",a heavy burden you took on yourself,reaching your limit; hardship of your own making; strong attachment,wands-10.png,pending,,
32,wands,page,Page of Wands,봉의 시종,"An eager young Joseon messenger boy in bright orange hanbok standing in a landscape of sparse pine trees, holding a long bamboo staff upright and staring at it with fierce curious intensity, a salamander embroidered on his cape, full of restless energy and potential, warm orange and yellow",a beginner dreaming of a bright future,fresh motivation; an arriving opportunity; pure sincerity,wands-page.png,pending,,
33,wands,knight,Knight of Wands,봉의 기사,"A dashing young Joseon warrior charging forward on a rearing red horse, holding a decorated staff high above his head, wearing armor with flame motifs and a plumed helmet, sand kicking up dramatically beneath the horse hooves, mountain peaks in the background, impulsive fearless energy, fire red and orange",fierce will and brave momentum,intense will; soaring vitality; an unhesitating start,wands-knight.png,pending,,
34,wands,queen,Queen of Wands,봉의 왕비,"A radiant and confident Joseon queen seated on a sunflower throne, wearing a golden-orange daeryebok ceremonial dress, holding a blooming sunflower staff in one hand, a black cat sitting regally at her feet, two stone lions flanking the throne, bold warm energy and generosity, golden amber and rich orange","proud, magnetic charm",the center of attention; winning all the love; a confident bearing,wands-queen.png,pending,,
35,wands,king,King of Wands,봉의 왕,"A commanding Joseon merchant king on a flame-carved lacquered throne, wearing a lion-embroidered crimson royal robe, holding a staff of living green wood, a small lizard resting on his shoulder, fierce entrepreneurial eyes, fire and salamander motifs carved on the throne, deep crimson and gold","bold, decisive leadership",sure results; soaring passion; powerful command,wands-king.png,pending,,
36,cups,ace,Ace of Cups,잔의 에이스,"A single luminous white porcelain baekja chalice overflowing with crystal clear water, emerging from a white cloud, a white dove descending to place a flower petal into the cup, five streams of water flowing outward from the cup base like fingers, a still lake of lotus flowers below, pure emotional potential, soft blue and white with silver light",welling emotion and a loving heart,joy and happiness; a fluttering heart; love begins,cups-ace.png,pending,,
37,cups,2,Two of Cups,잔의 2,"A young Joseon nobleman and a woman in elegant hanbok facing each other and exchanging white porcelain cups in a garden, a winged lion rising between them as symbol of blessing, caduceus serpents twining above, eyes locked in mutual recognition and attraction, plum blossoms falling around them, partnership and connection, soft rose and cream",newly sprouting excitement,love begins; a partner appears; mutual support,cups-02.png,pending,,
38,cups,3,Three of Cups,잔의 3,"Three Joseon noblewomen in colorful hanbok raising their white porcelain cups in joyful toast in a lush autumn garden, surrounded by abundant harvest fruits and chrysanthemum flowers, dancing and laughing together, friendship and celebration, rich autumn colors of red, orange, and gold",people grateful just to be together,sharing joy; deep solidarity; good company,cups-03.png,pending,,
39,cups,4,Four of Cups,잔의 4,"A discontented young Joseon man sitting cross-armed beneath an ancient ginkgo tree, three white porcelain cups placed before him on the ground, a fourth cup offered by a hand from a golden cloud above that he ignores completely, his gaze downcast and uninterested, contemplative discontent, muted greens and grey",emotional stagnation after long comfort,no change; dissatisfaction; clinging to the status quo,cups-04.png,pending,,
40,cups,5,Five of Cups,잔의 5,"A figure in a dark mourning sangbok robe standing with head bowed before three spilled white porcelain cups on the ground, not noticing the two upright cups still standing behind them, a stone bridge over a misty river in the background leading toward a distant fortress, grief refusing to see what remains, muted grey-blue",burying grief over loss,deep sorrow; spilled regret; faint hope remaining,cups-05.png,pending,,
41,cups,6,Six of Cups,잔의 6,"A young Joseon boy offering a white cup filled with white plum blossoms to a younger girl in a sunlit Joseon courtyard, six white cups with flowers arranged around them on low stone steps, warmth of childhood memory and nostalgia, an older figure walking away in the background, soft warm pastels of ivory and blush",warm memories of the past,warm rapport; pure affection; nostalgia,cups-06.png,pending,,
42,cups,7,Seven of Cups,잔의 7,"A Joseon nobleman gazing at seven floating white cups in a dream cloud, each containing a different Korean fantastical vision: a jade dragon, a golden palace, a wreath of lotus, a victory banner, a beautiful face, a pile of rubies, a dark shadow — fantasy and illusion, deep indigo dream-mist",searching for what you truly value,fantasy and delusion; choice paralysis; an unseen reality,cups-07.png,pending,,
43,cups,8,Eight of Cups,잔의 8,"A cloaked Joseon traveller with a walking staff leaving behind eight upright white porcelain cups arranged in an incomplete row, climbing a steep rocky mountain path toward a distant red moon, turning away from what was built, seeking something deeper and more meaningful, muted blues and grey, solitary mountain atmosphere",setting out on a new journey,settled feelings; the next stage; leaving the past behind,cups-08.png,pending,,
44,cups,9,Nine of Cups,잔의 9,"A contented prosperous Joseon merchant sitting on a low wooden bench with arms crossed and a deeply satisfied smile, nine gleaming white porcelain cups displayed proudly on curved shelves behind him, abundance and wish fulfillment, warm golden candlelight, deep blue curtains framing the scene, rich ivory and blue",basking in fulfillment after a goal,a wish fulfilled; pride; material success,cups-09.png,pending,,
45,cups,10,Ten of Cups,잔의 10,"A joyful Joseon family — a couple and two children — gathered before their tile-roofed traditional home, a rainbow arc of ten glowing white porcelain cups in the sky above them, the couple embracing and looking upward together, children dancing with arms wide open, a river and mountains in peaceful background, complete happiness, warm rainbow colors",happiness felt in peaceful daily life,a peaceful everyday; a gentle nature; positive relationships,cups-10.png,pending,,
46,cups,page,Page of Cups,잔의 시종,"A dreamy young Joseon scholar-boy in blue and silver hanbok standing by the ocean shore, gazing with delighted surprise at a small blue fish that has jumped out of his porcelain cup to speak to him, a single wave curling gently behind him, open childlike wonder, aquamarine and silver",pure curiosity toward love,rich imagination; an open mind; pure curiosity,cups-page.png,pending,,
47,cups,knight,Knight of Cups,잔의 기사,"A romantic Joseon young nobleman on a slow white horse, wearing a blue and silver robe with fish and wave embroidery, holding a white porcelain cup extended forward as an offering, approaching calmly and purposefully, helmet with silver wings, misty mountain lake in the background, soft blues and silver",empathy that steadies emotion,graceful bearing; gentle feelings; a romantic connection,cups-knight.png,pending,,
48,cups,queen,Queen of Cups,잔의 왕비,"A beautiful serene Joseon queen seated on a coral and shell throne at the water edge, holding an ornate covered white porcelain cup intently as if it holds the secrets of the heart, wearing flowing teal and blue daeryebok ceremonial dress, her feet touching the water, deep empathetic eyes, soft sea tones of turquoise and pearl",sharing boundless compassion,a tolerant heart; artistic sensibility; emotional harmony,cups-queen.png,pending,,
49,cups,king,King of Cups,잔의 왕,"A wise mature Joseon king on a stone throne surrounded by a turbulent sea but remaining utterly calm, wearing a deep blue and gold robe with fish embroidery, holding a white cup in one hand and a short lotus scepter in the other, a small fish leaping from the water at his side, steady emotional mastery, deep blue and gold",mastering even fierce emotion with skill,ease of mind; deep consideration; strength of intellect,cups-king.png,pending,,
50,swords,ace,Ace of Swords,검의 에이스,"A single gleaming Joseon ceremonial sword hwando pointing straight upward, emerging from a clenched armored fist from a cloud, a golden crown encircling the blade and a white branch of laurel and olive twisted around it, stormy mountain peaks below, pure mental clarity and truth, cold silver and steel blue",carving your future with firm will,a firm decision; clear thinking; strong will,swords-ace.png,pending,,
51,swords,2,Two of Swords,검의 2,"A blindfolded Joseon noblewoman seated on a stone bench before a crescent moonlit bay, holding two crossed swords against her chest in perfect balance, a boundary of rocks behind her blocking the sea, frozen indecision, white hanbok robes, cool pale blue and silver moonlight",hesitating at a crossroads of choice,feelings held in balance; a stalemate; cool judgment,swords-02.png,pending,,
52,swords,3,Three of Swords,검의 3,"Three Joseon ceremonial swords piercing a single red silk heart-shaped cushion against a backdrop of dark stormclouds and heavy rain, no figures present — pure emotional grief and heartbreak expressed through symbol alone, dramatic deep red and stormy grey","facing deep heart-wounds, pain and sorrow",a sorrowful heart; a wounded heart; a process of growth,swords-03.png,pending,,
53,swords,4,Four of Swords,검의 4,"A Joseon general lying in full armor in a contemplative rest pose on a stone slab in a quiet temple chamber, three swords hanging on the wall above him and one lying beneath the slab, hands clasped in prayer, a stained glass lotus window casting colored light across the scene, stillness and recovery, pale grey stone and warm amber light",rest for the heart after hard times,rest from fatigue; time alone; ample stability,swords-04.png,pending,,
54,swords,5,Five of Swords,검의 5,"A smirking Joseon warrior gathering three swords from the ground, two defeated opponents walking away dejectedly in the distance, choppy grey sea and storm-torn sky behind, hollow victory and the aftermath of conflict, cold blue-grey and steel",desire to take by any means,a harmful desire; achieving your aim; a hollow possession,swords-05.png,pending,,
55,swords,6,Six of Swords,검의 6,"A Joseon ferryman poling a wooden boat across a misty river, a woman and child huddled in the bow of the boat, six upright swords planted in the prow, moving steadily from rough choppy water toward calmer smoother waters, leaving trouble behind, muted grey-blue and pale morning light",escaping turbulent waters toward calm,breaking free; a turning situation; moving on,swords-06.png,pending,,
56,swords,7,Seven of Swords,검의 7,"A furtive Joseon trickster tiptoeing away from a military encampment at dawn, carrying five swords awkwardly bundled under one arm, two swords left behind in the grass, glancing back over his shoulder with a sly grin, orange sunrise silhouetting the camp tents, cunning strategy, pale dawn orange and grey","bold but reckless, risky behavior",an illicit move; a loss or theft; a leaked secret,swords-07.png,pending,,
57,swords,8,Eight of Swords,검의 8,"A Joseon noblewoman standing blindfolded and loosely bound with red rope in a circle of eight upright swords, but the bonds are loose enough to slip free if she only tried, a Joseon fortress in the stormy background, self-imposed restriction and mental imprisonment, grey and muted red",time bound within your own thoughts,a powerless mind; loneliness; mental anguish,swords-08.png,pending,,
58,swords,9,Nine of Swords,검의 9,"A Joseon person sitting bolt upright in bed clutching their head in anguish in the dark of night, nine swords hanging in a row on the dark wall before them, carved panels on the bedframe showing a scene of defeat, the crushing weight of anxiety and nightmares, deep indigo darkness and cold grey swords",fear and sorrow you don't want to bear,anxiety; frayed nerves; turning from reality,swords-09.png,pending,,
59,swords,10,Ten of Swords,검의 10,"A figure in white hanbok lying face-down in the dawn light with ten swords planted in their back in a precise line, a calm sea and golden sunrise on the horizon — the darkest night has finally passed, a still hand raised in a gesture of final peace, rock bottom before renewal, stark black and pale dawn gold",laying everything down and moving on,acceptance; a crossroads of life; a change of situation,swords-10.png,pending,,
60,swords,page,Page of Swords,검의 시종,"An alert young Joseon soldier-boy on a windswept hilltop, holding a sword raised high with both hands, clouds racing overhead, feet nimble and ready to spring into action, sharp keen eyes scanning the horizon, white and grey practice uniform, stormy sky and birds flying, silver and wind-grey",watching your surroundings calmly,careful preparation; discretion; high alertness,swords-page.png,pending,,
61,swords,knight,Knight of Swords,검의 기사,"A fierce Joseon cavalry soldier on a charging black horse galloping headlong into a violent storm, sword raised high above his head, full battle armor with wind-torn horsehair plume on helmet, birds buffeted by violent wind around him, sheer unstoppable momentum, stormy grey and steel blue with flashes of silver lightning",charging unwaveringly toward a goal,rational judgment; a bold challenge; sharp analysis,swords-knight.png,pending,,
62,swords,queen,Queen of Swords,검의 왕비,"A severe yet perceptive Joseon queen seated on a cloud-carved stone throne, one hand raised in formal greeting and the other holding an upright sword, a butterfly carved on her throne, a single bird flying free in the windswept sky behind her, her expression penetrating and fiercely independent, grey-blue daeryebok and silver crown, cold clear blue sky",right judgment made coolly and rationally,rational action; intellectual sharpness; self-possession,swords-queen.png,pending,,
63,swords,king,King of Swords,검의 왕,"An authoritative Joseon military king enthroned on a high stone seat, holding an upright sword before him as a symbol of authority and judgment, wearing deep blue armor with crane motifs, butterflies and crescent moon carved in the stone throne, sharp clear intelligent eyes, stormy sky clearing behind him, deep steel blue and silver",authority and power held in a single sword,objective analysis; a clear choice; supreme authority,swords-king.png,pending,,
64,pentacles,ace,Ace of Pentacles,엽전의 에이스,"A single large gleaming brass traditional Korean coin yeopjeon with a square hole at its center, held aloft by a hand emerging from a golden cloud, a path through a lush garden archway of chrysanthemums and peonies leading to distant mountains below, material potential and new earthly beginnings, rich gold and deep green",one great reward earned through effort,exertion of effort; stable footing; a time of achievement,pentacles-ace.png,pending,,
65,pentacles,2,Two of Pentacles,엽전의 2,"A nimble young Joseon street juggler in colorful patchwork hanbok, balancing two glowing brass yeopjeon coins linked with an infinity serpent, dancing and juggling with effortless grace, two tall merchant ships navigating enormous waves in the stormy sea behind him, managing competing priorities, vibrant warm colors",skillfully adapting with flexibility,a skillful attitude; a flexible choice; a smooth flow,pentacles-02.png,pending,,
66,pentacles,3,Three of Pentacles,엽전의 3,"A skilled Joseon craftsman chiseling stone carvings in a temple construction site, consulting a scroll of blueprints with a nobleman and a monk who observe admiringly, three yeopjeon motifs carved into the stone arch above the scene, expertise recognized and rewarded, warm stone ochre and deep blue robes",results of effort coming to the surface,a chance to cooperate; excellent skill; proven competence,pentacles-03.png,pending,,
67,pentacles,4,Four of Pentacles,엽전의 4,"A hoarding Joseon miser sitting rigidly on a low chest, clutching one yeopjeon coin to his chest, one balanced on his head, standing firmly on two more, a Joseon city bustling with life behind him that he ignores, tight fearful expression of one who clings to what he has, earth tones and grey",strong attachment born of possessiveness,securing what matters; a solid plan; holding on tight,pentacles-04.png,pending,,
68,pentacles,5,Five of Pentacles,엽전의 5,"Two destitute Joseon beggars in tattered robes limping through blinding snow past a brightly lit tile-roofed merchant house with five glowing yeopjeon medallions in the warm lantern-lit window above them — help is near but they do not look up, hardship and material loss, cold blue-white snow and warm amber window light",facing harsh reality with help unseen,lingering pride; a time for reflection; a state of want,pentacles-05.png,pending,,
69,pentacles,6,Six of Pentacles,엽전의 6,"A prosperous Joseon merchant in fine silk robes standing in a market, holding brass scales in one hand, distributing yeopjeon coins to two kneeling poor people with the other, three more coins gleaming in his other palm, generosity and the balance of giving and receiving, rich amber and warm brown",mutual ties born of goodwill and abundance,a balanced exchange; the joy of sharing; a state of abundance,pentacles-06.png,pending,,
70,pentacles,7,Seven of Pentacles,엽전의 7,"A young Joseon farmer leaning on his hoe and gazing thoughtfully at his carefully tended plot of ginseng plants, seven yeopjeon coins growing like golden fruit among the leaves, one coin resting near his feet, assessing long-term investment and patient labor, deep earthy green and warm gold dusk light",lingering dissatisfaction with the results,effort invested; a time to reassess; aiming higher,pentacles-07.png,pending,,
71,pentacles,8,Eight of Pentacles,엽전의 8,"A focused Joseon craftsman seated at a workbench carefully etching yeopjeon coins one by one with precise tools, eight completed coins hanging on the wall beside him, his master tools laid out with precision, a distant town suggesting he works in chosen solitude, diligent apprenticeship and skill mastery, warm amber and earth tones",the fruits of diligent practice,building your skill; diligent practice; deep focus,pentacles-08.png,pending,,
72,pentacles,9,Nine of Pentacles,엽전의 9,"An elegant Joseon noblewoman strolling alone in a lush private garden at golden hour, a trained falcon perched on her gloved hand, surrounded by abundant fruit trees and flowering plants, nine glowing yeopjeon adorning the vines beside her, refined independence and material accomplishment, rich gold and deep green",enjoying abundance without want,sure progress; rising status; a life of ease,pentacles-09.png,pending,,
73,pentacles,10,Ten of Pentacles,엽전의 10,"A prosperous three-generation Joseon family gathered in the courtyard of a grand tile-roofed estate, ten yeopjeon coins forming an arch overhead as the family crest, an elder in formal robes seated with dogs at his feet, a couple with child nearby, the archway leading to a legacy of security and tradition, rich tapestry of warm ochre and deep blue",a precious legacy across generations,family prosperity; glory passed down; lasting stability,pentacles-10.png,pending,,
74,pentacles,page,Page of Pentacles,엽전의 시종,"A studious young Joseon student standing in a field of fresh green wheat, holding a single yeopjeon coin at eye level and studying it intently with focused curiosity, mountains in the background, new beginnings of practical learning and material studies, fresh spring greens and warm gold",pure passion for a new future,diligent self-discipline; growing curiosity; laying foundations,pentacles-page.png,pending,,
75,pentacles,knight,Knight of Pentacles,엽전의 기사,"A patient dependable Joseon cavalry officer on a heavy black shire horse that stands completely still in a ploughed field, holding a single yeopjeon and examining it with methodical care, wearing plain but polished armor, an oak tree and distant fields behind him, steady reliable approach, dark green and earthy brown",strong and deeply patient,calm growth; strong responsibility; steady perseverance,pentacles-knight.png,pending,,
76,pentacles,queen,Queen of Pentacles,엽전의 왕비,"A warm nurturing Joseon queen seated on a stone throne carved with fruit and goat motifs, cradling a single large yeopjeon in her lap and gazing at it tenderly as if it were precious life itself, surrounded by abundant flowers and fruits, a small rabbit at her feet, a lush garden and distant mountains, warm maternal earth energy, rich green and gold",keeping peace through devoted love,a settled heart; a dependable support; an embracing life,pentacles-queen.png,pending,,
77,pentacles,king,King of Pentacles,엽전의 왕,"A powerful prosperous Joseon merchant-king on a throne covered in grapevines and bull carvings, wearing a robe embroidered with grapes and coins, one foot resting on a stone carved with a bull, surrounded by the towers of his city estate, holding a scepter in one hand and yeopjeon in the other, the pinnacle of material mastery, deep burgundy and gold",a generous soul who knows how to share,a dependable provider; deep care; sharing abundance,pentacles-king.png,pending,,
